3,BL_19
WL_0,5298899.48403458
WL_1,5298899.48403458
WL_2,5298899.48403458
WL_3,5298899.48403458
WL_4,5298899.48403458
WL_5,5298899.48403458
WL_6,5298899.48403458
WL_7,5298899.48403458
WL_8,5298899.48403458
WL_9,5298899.48403458
WL_10,5298899.48403458
WL_11,5298899.48403458
WL_12,5298899.48403458
WL_13,5298899.48403458
WL_14,5298899.48403458
WL_15,5298899.48403458
WL_16,5298899.48403458
WL_17,5298899.48403458
WL_18,5298899.48403458
WL_19,5298899.48403458
WL_20,5298899.48403458
WL_21,5298899.48403458
WL_22,5298899.48403458
WL_23,5298899.48403458
WL_24,5298899.48403458
WL_25,5298899.48403458
WL_26,5298899.48403458
WL_27,5298899.48403458
WL_28,5298899.48403458
WL_29,5298899.48403458
WL_30,5298899.48403458
WL_31,5298899.48403458
WL_32,5298899.48403458
WL_33,5298899.48403458
WL_34,5298899.48403458
WL_35,5298899.48403458
WL_36,5298899.48403458
WL_37,5298899.48403458
WL_38,5298899.48403458
WL_39,5298899.48403458
WL_40,5298899.48403458
WL_41,5298899.48403458
WL_42,5298899.48403458
WL_43,5298899.48403458
WL_44,5298899.48403458
WL_45,5298899.48403458
WL_46,5298899.48403458
WL_47,5298899.48403458
WL_48,5298899.48403458
WL_49,5298899.48403458
WL_50,5298899.48403458
WL_51,5298899.48403458
WL_52,5298899.48403458
WL_53,5298899.48403458
WL_54,5298899.48403458
WL_55,5298899.48403458
WL_56,5298899.48403458
WL_57,5298899.48403458
WL_58,5298899.48403458
WL_59,5298899.48403458
WL_60,5298899.48403458
WL_61,5298899.48403458
WL_62,5298899.48403458
WL_63,5298899.48403458
WL_64,5298899.48403458
WL_65,5298899.48403458
WL_66,5298899.48403458
WL_67,5298899.48403458
WL_68,5298899.48403458
WL_69,5298899.48403458
WL_70,5298899.48403458
WL_71,5298899.48403458
WL_72,5298899.48403458
WL_73,5298899.48403458
WL_74,5298899.48403458
WL_75,5298899.48403458
WL_76,5298899.48403458
WL_77,5298899.48403458
WL_78,5298899.48403458
WL_79,5298899.48403458
WL_80,5298899.48403458
WL_81,5298899.48403458
WL_82,5298899.48403458
WL_83,5298899.48403458
WL_84,5298899.48403458
WL_85,5298899.48403458
WL_86,5298899.48403458
WL_87,5298899.48403458
WL_88,5298899.48403458
WL_89,5298899.48403458
WL_90,5298899.48403458
WL_91,5298899.48403458
WL_92,5298899.48403458
WL_93,5298899.48403458
WL_94,5298899.48403458
WL_95,5298899.48403458
WL_96,5298899.48403458
WL_97,5298899.48403458
WL_98,5298899.48403458
WL_99,5298899.48403458
WL_100,5298899.48403458
WL_101,5298899.48403458
WL_102,5298899.48403458
WL_103,5298899.48403458
WL_104,5298899.48403458
WL_105,5298899.48403458
WL_106,5298899.48403458
WL_107,5298899.48403458
WL_108,5298899.48403458
WL_109,5298899.48403458
WL_110,5298899.48403458
WL_111,5298899.48403458
WL_112,5298899.48403458
WL_113,5298899.48403458
WL_114,5298899.48403458
WL_115,5298899.48403458
WL_116,5298899.48403458
WL_117,5298899.48403458
WL_118,5298899.48403458
WL_119,5298899.48403458
WL_120,5298899.48403458
WL_121,5298899.48403458
WL_122,5298899.48403458
WL_123,5298899.48403458
WL_124,5298899.48403458
WL_125,5298899.48403458
WL_126,5298899.48403458
WL_127,5298899.48403458
