3,BL_0
WL_0,807.6637272360771
WL_1,807.6637272360771
WL_2,807.6637272360771
WL_3,807.6637272360771
WL_4,807.6637272360771
WL_5,807.6637272360771
WL_6,807.6637272360771
WL_7,807.6637272360771
WL_8,807.6637272360771
WL_9,807.6637272360771
WL_10,807.6637272360771
WL_11,807.6637272360771
WL_12,807.6637272360771
WL_13,807.6637272360771
WL_14,807.6637272360771
WL_15,807.6637272360771
WL_16,807.6637272360771
WL_17,807.6637272360771
WL_18,807.6637272360771
WL_19,807.6637272360771
WL_20,807.6637272360771
WL_21,807.6637272360771
WL_22,807.6637272360771
WL_23,807.6637272360771
WL_24,807.6637272360771
WL_25,807.6637272360771
WL_26,807.6637272360771
WL_27,807.6637272360771
WL_28,807.6637272360771
WL_29,807.6637272360771
WL_30,807.6637272360771
WL_31,807.6637272360771
WL_32,807.6637272360771
WL_33,807.6637272360771
WL_34,807.6637272360771
WL_35,807.6637272360771
WL_36,807.6637272360771
WL_37,807.6637272360771
WL_38,807.6637272360771
WL_39,807.6637272360771
WL_40,807.6637272360771
WL_41,807.6637272360771
WL_42,807.6637272360771
WL_43,807.6637272360771
WL_44,807.6637272360771
WL_45,807.6637272360771
WL_46,807.6637272360771
WL_47,807.6637272360771
WL_48,807.6637272360771
WL_49,807.6637272360771
WL_50,807.6637272360771
WL_51,807.6637272360771
WL_52,807.6637272360771
WL_53,807.6637272360771
WL_54,807.6637272360771
WL_55,807.6637272360771
WL_56,807.6637272360771
WL_57,807.6637272360771
WL_58,807.6637272360771
WL_59,807.6637272360771
WL_60,807.6637272360771
WL_61,807.6637272360771
WL_62,807.6637272360771
WL_63,807.6637272360771
WL_64,807.6637272360771
WL_65,807.6637272360771
WL_66,807.6637272360771
WL_67,807.6637272360771
WL_68,807.6637272360771
WL_69,807.6637272360771
WL_70,807.6637272360771
WL_71,807.6637272360771
WL_72,807.6637272360771
WL_73,807.6637272360771
WL_74,807.6637272360771
WL_75,807.6637272360771
WL_76,807.6637272360771
WL_77,807.6637272360771
WL_78,807.6637272360771
WL_79,807.6637272360771
WL_80,807.6637272360771
WL_81,807.6637272360771
WL_82,807.6637272360771
WL_83,807.6637272360771
WL_84,807.6637272360771
WL_85,807.6637272360771
WL_86,807.6637272360771
WL_87,807.6637272360771
WL_88,807.6637272360771
WL_89,807.6637272360771
WL_90,807.6637272360771
WL_91,807.6637272360771
WL_92,807.6637272360771
WL_93,807.6637272360771
WL_94,807.6637272360771
WL_95,807.6637272360771
WL_96,807.6637272360771
WL_97,807.6637272360771
WL_98,807.6637272360771
WL_99,807.6637272360771
WL_100,807.6637272360771
WL_101,807.6637272360771
WL_102,807.6637272360771
WL_103,807.6637272360771
WL_104,807.6637272360771
WL_105,807.6637272360771
WL_106,807.6637272360771
WL_107,807.6637272360771
WL_108,807.6637272360771
WL_109,807.6637272360771
WL_110,807.6637272360771
WL_111,807.6637272360771
WL_112,807.6637272360771
WL_113,807.6637272360771
WL_114,807.6637272360771
WL_115,807.6637272360771
WL_116,807.6637272360771
WL_117,807.6637272360771
WL_118,807.6637272360771
WL_119,807.6637272360771
WL_120,807.6637272360771
WL_121,807.6637272360771
WL_122,807.6637272360771
WL_123,807.6637272360771
WL_124,807.6637272360771
WL_125,807.6637272360771
WL_126,807.6637272360771
WL_127,807.6637272360771
