3,BL_0
WL_0,93886104.49931572
WL_1,93886104.49931572
WL_2,93886104.49931572
WL_3,93886104.49931572
WL_4,93886104.49931572
WL_5,93886104.49931572
WL_6,93886104.49931572
WL_7,93886104.49931572
WL_8,93886104.49931572
WL_9,93886104.49931572
WL_10,93886104.49931572
WL_11,93886104.49931572
WL_12,93886104.49931572
WL_13,93886104.49931572
WL_14,93886104.49931572
WL_15,93886104.49931572
WL_16,93886104.49931572
WL_17,93886104.49931572
WL_18,93886104.49931572
WL_19,93886104.49931572
WL_20,93886104.49931572
WL_21,93886104.49931572
WL_22,93886104.49931572
WL_23,93886104.49931572
WL_24,93886104.49931572
WL_25,93886104.49931572
WL_26,93886104.49931572
WL_27,93886104.49931572
WL_28,93886104.49931572
WL_29,93886104.49931572
WL_30,93886104.49931572
WL_31,93886104.49931572
WL_32,93886104.49931572
WL_33,93886104.49931572
WL_34,93886104.49931572
WL_35,93886104.49931572
WL_36,93886104.49931572
WL_37,93886104.49931572
WL_38,93886104.49931572
WL_39,93886104.49931572
WL_40,93886104.49931572
WL_41,93886104.49931572
WL_42,93886104.49931572
WL_43,93886104.49931572
WL_44,93886104.49931572
WL_45,93886104.49931572
WL_46,93886104.49931572
WL_47,93886104.49931572
WL_48,93886104.49931572
WL_49,93886104.49931572
WL_50,93886104.49931572
WL_51,93886104.49931572
WL_52,93886104.49931572
WL_53,93886104.49931572
WL_54,93886104.49931572
WL_55,93886104.49931572
WL_56,93886104.49931572
WL_57,93886104.49931572
WL_58,93886104.49931572
WL_59,93886104.49931572
WL_60,93886104.49931572
WL_61,93886104.49931572
WL_62,93886104.49931572
WL_63,93886104.49931572
WL_64,93886104.49931572
WL_65,93886104.49931572
WL_66,93886104.49931572
WL_67,93886104.49931572
WL_68,93886104.49931572
WL_69,93886104.49931572
WL_70,93886104.49931572
WL_71,93886104.49931572
WL_72,93886104.49931572
WL_73,93886104.49931572
WL_74,93886104.49931572
WL_75,93886104.49931572
WL_76,93886104.49931572
WL_77,93886104.49931572
WL_78,93886104.49931572
WL_79,93886104.49931572
WL_80,93886104.49931572
WL_81,93886104.49931572
WL_82,93886104.49931572
WL_83,93886104.49931572
WL_84,93886104.49931572
WL_85,93886104.49931572
WL_86,93886104.49931572
WL_87,93886104.49931572
WL_88,93886104.49931572
WL_89,93886104.49931572
WL_90,93886104.49931572
WL_91,93886104.49931572
WL_92,93886104.49931572
WL_93,93886104.49931572
WL_94,93886104.49931572
WL_95,93886104.49931572
WL_96,93886104.49931572
WL_97,93886104.49931572
WL_98,93886104.49931572
WL_99,93886104.49931572
WL_100,93886104.49931572
WL_101,93886104.49931572
WL_102,93886104.49931572
WL_103,93886104.49931572
WL_104,93886104.49931572
WL_105,93886104.49931572
WL_106,93886104.49931572
WL_107,93886104.49931572
WL_108,93886104.49931572
WL_109,93886104.49931572
WL_110,93886104.49931572
WL_111,93886104.49931572
WL_112,93886104.49931572
WL_113,93886104.49931572
WL_114,93886104.49931572
WL_115,93886104.49931572
WL_116,93886104.49931572
WL_117,93886104.49931572
WL_118,93886104.49931572
WL_119,93886104.49931572
WL_120,93886104.49931572
WL_121,93886104.49931572
WL_122,93886104.49931572
WL_123,93886104.49931572
WL_124,93886104.49931572
WL_125,93886104.49931572
WL_126,93886104.49931572
WL_127,93886104.49931572
