Chip_ID,Device_ID,OP,Row,Col,Res,Cond,Meas_I,Meas_V,Success/State,Prog_VBL,Prog_VSL,Prog_VWL,Prog_Pulse
chip,device,READ,WL_2,BL_0,7729173.389681787,1.2937994137057007e-07,3.881398241117102e-08,0.29894577704195097,reset
chip,device,READ,WL_2,BL_7,4321063.890993798,2.314244883266493e-07,6.942734649799479e-08,0.3004976489247427,reset
chip,device,READ,WL_2,BL_15,2213111.2586126826,4.518525655266256e-07,-1.3555576965798767e-07,0.2993426159727628,reset
chip,device,READ,WL_2,BL_0,5722652.101297858,1.7474415398643696e-07,5.242324619593109e-08,0.2991393463234575,reset
chip,device,READ,WL_2,BL_7,4467771.359126647,2.2382524073377792e-07,6.714757222013338e-08,0.3005152458851304,reset
chip,device,READ,WL_2,BL_15,2176744.6532780603,4.5940161079254466e-07,-1.378204832377634e-07,0.29913144471506037,reset
chip,device,READ,WL_2,BL_0,6576262.882598064,1.5206204767850355e-07,4.561861430355106e-08,0.29885779100490156,reset
chip,device,READ,WL_2,BL_7,3711666.9298852785,2.69420726291006e-07,8.082621788730179e-08,0.30072640940977474,reset
chip,device,READ,WL_2,BL_15,2250713.6549654715,4.4430352026070646e-07,-1.3329105607821192e-07,0.2994833968112322,reset
chip,device,READ,WL_2,BL_0,6264771.164330007,1.5962274978114801e-07,4.78868249343444e-08,0.2992977211901459,reset
chip,device,READ,WL_2,BL_7,3819396.3496514494,2.618214786981346e-07,7.854644360944038e-08,0.30072640940977474,reset
chip,device,READ,WL_2,BL_15,2176744.6532780603,4.5940161079254466e-07,-1.378204832377634e-07,0.2993074207631463,reset
chip,device,READ,WL_2,BL_0,5722652.101297858,1.7474415398643696e-07,5.242324619593109e-08,0.2990513602864088,reset
chip,device,READ,WL_2,BL_7,4321063.890993798,2.314244883266493e-07,6.942734649799479e-08,0.3001633066773888,reset
chip,device,READ,WL_2,BL_15,2042492.8719728927,4.895977918562213e-07,-1.4687933755686639e-07,0.29965937285931743,reset
chip,device,READ,WL_2,BL_0,7729173.389681787,1.2937994137057007e-07,3.881398241117102e-08,0.29912174911604844,reset
chip,device,READ,WL_2,BL_7,4054772.12933706,2.466229835123919e-07,7.398689505371757e-08,0.3005680367662917,reset
chip,device,READ,WL_2,BL_15,2107482.8860985273,4.7449970132438307e-07,-1.423499103973149e-07,0.29994093453625553,reset
chip,device,READ,WL_2,BL_0,6920350.782983188,1.445013455761451e-07,4.3350403672843534e-08,0.29952648488647265,reset
chip,device,READ,WL_2,BL_7,3711666.9298852785,2.69420726291006e-07,8.082621788730179e-08,0.30053284284551685,reset
chip,device,READ,WL_2,BL_15,1981391.2395486957,5.046958823880595e-07,-1.5140876471641784e-07,0.2995009944160401,reset
chip,device,READ,WL_2,BL_0,8208883.966190511,1.218192392679256e-07,3.654577178037768e-08,0.29917454073827765,reset
chip,device,READ,WL_2,BL_7,3513466.1489533056,2.8461922147674863e-07,8.538576644302459e-08,0.3005504398059039,reset
chip,device,READ,WL_2,BL_15,2371599.332650138,4.21656384462949e-07,-1.264969153388847e-07,0.29937781118238,reset
chip,device,READ,WL_2,BL_0,7302433.920544552,1.3694064347321458e-07,4.108219304196437e-08,0.2989809714567698,reset
chip,device,READ,WL_2,BL_7,3819396.3496514494,2.618214786981346e-07,7.854644360944038e-08,0.30058563372667807,reset
chip,device,READ,WL_2,BL_15,2329886.648059663,4.2920542972886826e-07,-1.2876162891866046e-07,0.29939540878718857,reset
chip,device,READ,WL_2,BL_0,8752081.243202388,1.1425853716528113e-07,3.427756114958434e-08,0.2992801239827355,reset
chip,device,READ,WL_2,BL_7,3609848.004747792,2.7701997388387733e-07,8.310599216516319e-08,0.3001985005981623,reset
chip,device,READ,WL_2,BL_15,2506207.571241285,3.9900924866519165e-07,-1.197027745995575e-07,0.29939540878718857,reset
