3,BL_0,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,BL_7,BL_8,BL_9,BL_10,BL_11,BL_12,BL_13,BL_14,BL_15
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
WL_0,16004814.916601896,1517939.3434048884,10904180.27380911,3164883.823506106,4406213.440983648,5123050.928582369,13724017.558228306,49562168.937346205,157230025.22106153,4574619.350750666,157031974.12681767,3715112.657631292,1741689.3385497404,121470659.8913642,3472677.7699667653,3141788.9399248958
