3,BL_0,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,BL_7,BL_8,BL_9,BL_10,BL_11,BL_12,BL_13,BL_14,BL_15
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
WL_0,20493903.678733654,1588553.2108975358,12356451.85501577,3146083.353657574,4226550.044708134,5601458.78839421,11763738.05288248,20454659.511084966,23013934.726078626,6417518.660829129,85023877.39210753,3565221.82550658,1735583.9421694842,291979279.2342039,3232275.781216796,3113814.835068957
