3,BL_0,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,BL_7,BL_8,BL_9,BL_10,BL_11,BL_12,BL_13,BL_14,BL_15,BL_16,BL_17,BL_18,BL_19,BL_20,BL_21,BL_22,BL_23,BL_24,BL_25,BL_26,BL_27,BL_28,BL_29,BL_30,BL_31
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
WL_23,7976794.3525945665,906519.6715808604,7004421.509233634,5280.754769423057,1691005.3598642529,2138187.234826917,2006.5958553561716,477199.4377946388,5419086.44822347,5465319.233497123,11321082.175286796,5151.2988113961965,715288.0718813937,4229604.987093827,8820.01135384796,10939.836793123106,2426001.582360156,93392827.1352284,736174.5254595868,2541.4464413650853,6607415.311230561,4096716.560520563,1354251.2264184582,527693.7216868054,6863185.746354592,994777.9879473709,8372.202231033856,2599936.6125916145,2736587.6256439555,4705756.906038578,3157060.0295352885,1075614.8759646297
