3,BL_0,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,BL_7
WL_0,13142584.167864695,1568253.306492384,17009231.42241213,3182412.3909640773,4068651.746249829,4357282.801819618,29446579.625410933,130701066.11941704
WL_0,13142584.167864695,1568253.306492384,17009231.42241213,3182412.3909640773,4068651.746249829,4357282.801819618,29446579.625410933,130701066.11941704
WL_0,13142584.167864695,1568253.306492384,17009231.42241213,3182412.3909640773,4068651.746249829,4357282.801819618,29446579.625410933,130701066.11941704
WL_0,13142584.167864695,1568253.306492384,17009231.42241213,3182412.3909640773,4068651.746249829,4357282.801819618,29446579.625410933,130701066.11941704
WL_0,13142584.167864695,1568253.306492384,17009231.42241213,3182412.3909640773,4068651.746249829,4357282.801819618,29446579.625410933,130701066.11941704
WL_0,13142584.167864695,1568253.306492384,17009231.42241213,3182412.3909640773,4068651.746249829,4357282.801819618,29446579.625410933,130701066.11941704
WL_0,13142584.167864695,1568253.306492384,17009231.42241213,3182412.3909640773,4068651.746249829,4357282.801819618,29446579.625410933,130701066.11941704
WL_0,13142584.167864695,1568253.306492384,17009231.42241213,3182412.3909640773,4068651.746249829,4357282.801819618,29446579.625410933,130701066.11941704
